Date,Title,Sentiment,Source
14/07/2015,2,0.998,eodhd.com
28/07/2015,1,0.999,eodhd.com
03/08/2015,1,0.999,eodhd.com
12/08/2015,1,0.992,eodhd.com
29/08/2015,1,0.993,eodhd.com
31/08/2015,1,0.997,eodhd.com
30/09/2015,1,0.997,eodhd.com
05/10/2015,1,0.996,eodhd.com
13/10/2015,1,1,eodhd.com
14/10/2015,2,-0.0015,eodhd.com
15/10/2015,1,0.998,eodhd.com
03/11/2015,1,0.999,eodhd.com
12/11/2015,1,0.996,eodhd.com
20/11/2015,1,0.999,eodhd.com
30/11/2015,3,0.999,eodhd.com
10/12/2015,1,0.997,eodhd.com
31/12/2015,2,0.995,eodhd.com
12/01/2016,1,0.987,eodhd.com
25/01/2016,1,0.992,eodhd.com
03/02/2016,1,0.987,eodhd.com
10/02/2016,1,0.997,eodhd.com
15/02/2016,1,0.999,eodhd.com
07/03/2016,1,0.993,eodhd.com
08/03/2016,1,0.992,eodhd.com
16/03/2016,1,0.999,eodhd.com
24/03/2016,1,0.987,eodhd.com
29/03/2016,1,0.998,eodhd.com
04/04/2016,1,0.999,eodhd.com
11/05/2016,1,0.999,eodhd.com
08/06/2016,1,0.993,eodhd.com
15/06/2016,1,0.998,eodhd.com
20/06/2016,1,0.996,eodhd.com
25/07/2016,1,0.998,eodhd.com
23/08/2016,1,0.996,eodhd.com
07/09/2016,1,0.999,eodhd.com
19/09/2016,1,0.999,eodhd.com
23/09/2016,1,0.999,eodhd.com
27/09/2016,1,0.995,eodhd.com
24/10/2016,1,0.996,eodhd.com
03/11/2016,1,0.98,eodhd.com
19/01/2017,1,0.999,eodhd.com
23/03/2017,1,0.994,eodhd.com
04/04/2017,1,0.996,eodhd.com
17/08/2017,1,0.991,eodhd.com
19/09/2017,1,0.997,eodhd.com
05/10/2017,1,0.997,eodhd.com
23/10/2017,1,0.998,eodhd.com
01/11/2017,1,0.997,eodhd.com
13/11/2017,1,0.998,eodhd.com
29/11/2017,1,0.996,eodhd.com
05/02/2018,1,0.998,eodhd.com
08/02/2018,1,0.996,eodhd.com
05/03/2018,1,0.994,eodhd.com
16/03/2018,1,0.991,eodhd.com
19/03/2018,1,0.996,eodhd.com
16/04/2018,1,0.993,eodhd.com
17/04/2018,1,0.996,eodhd.com
03/05/2018,1,0.999,eodhd.com
24/05/2018,1,0.997,eodhd.com
14/06/2018,1,0.995,eodhd.com
21/08/2018,1,0.999,eodhd.com
25/09/2018,3,0.8973,eodhd.com
29/10/2018,1,0.995,eodhd.com
06/12/2018,1,0.997,eodhd.com
17/01/2019,1,0.962,eodhd.com
12/02/2019,1,0.994,eodhd.com
24/02/2019,1,0.998,eodhd.com
27/02/2019,1,0.999,eodhd.com
07/03/2019,1,0.997,eodhd.com
09/04/2019,1,1,eodhd.com
16/04/2019,1,0.995,eodhd.com
05/06/2019,1,0.992,eodhd.com
23/03/2020,1,0.994,eodhd.com
30/03/2020,1,0.992,eodhd.com
10/04/2020,1,0.995,eodhd.com
15/04/2020,1,0.998,eodhd.com
22/04/2020,1,0.983,eodhd.com
23/04/2020,2,-0.7035,eodhd.com
24/04/2020,3,0.997,eodhd.com
27/04/2020,3,0.856,eodhd.com
28/04/2020,2,0.671,eodhd.com
01/05/2020,1,0.998,eodhd.com
12/05/2020,1,0.997,eodhd.com
14/05/2020,1,0.995,eodhd.com
19/05/2020,1,0.998,eodhd.com
27/05/2020,1,0.993,eodhd.com
03/06/2020,1,0.995,eodhd.com
05/06/2020,1,0.974,eodhd.com
09/06/2020,2,0.4995,eodhd.com
15/06/2020,2,0.967,eodhd.com
18/06/2020,1,0.982,eodhd.com
19/06/2020,2,0.997,eodhd.com
27/06/2020,1,1,eodhd.com
29/06/2020,2,-0.1,eodhd.com
02/07/2020,1,0.999,eodhd.com
16/07/2020,1,0.671,eodhd.com
03/08/2020,11,0.8523,eodhd.com
04/08/2020,5,0.98,eodhd.com
07/08/2020,1,0.989,eodhd.com
13/08/2020,2,0.982,eodhd.com
18/08/2020,2,0.997,eodhd.com
21/08/2020,3,0.9993,eodhd.com
24/08/2020,2,0.992,eodhd.com
25/08/2020,2,0.979,eodhd.com
28/08/2020,3,0.9997,eodhd.com
01/09/2020,4,0.9755,eodhd.com
02/09/2020,2,0.922,eodhd.com
03/09/2020,2,0.125,eodhd.com
04/09/2020,1,0.418,eodhd.com
08/09/2020,1,0.649,eodhd.com
09/09/2020,1,0.997,eodhd.com
10/09/2020,1,0.982,eodhd.com
15/09/2020,1,0.993,eodhd.com
16/09/2020,1,0.975,eodhd.com
17/09/2020,3,0.949,eodhd.com
24/09/2020,1,-0.153,eodhd.com
28/09/2020,4,0.996,eodhd.com
29/09/2020,5,0.9946,eodhd.com
01/10/2020,4,0.2335,eodhd.com
07/10/2020,3,0.9107,eodhd.com
08/10/2020,1,1,eodhd.com
09/10/2020,1,1,eodhd.com
12/10/2020,2,0.994,eodhd.com
15/10/2020,4,0.9855,eodhd.com
20/10/2020,3,0.973,eodhd.com
23/10/2020,3,0.9907,eodhd.com
28/10/2020,1,1,eodhd.com
30/10/2020,6,0.4877,eodhd.com
02/11/2020,6,0.6513,eodhd.com
05/11/2020,1,0.942,eodhd.com
06/11/2020,2,0.999,eodhd.com
09/11/2020,2,0.996,eodhd.com
12/11/2020,5,0.9868,eodhd.com
13/11/2020,4,0.9933,eodhd.com
16/11/2020,1,0.34,eodhd.com
17/11/2020,2,0.998,eodhd.com
19/11/2020,1,1,eodhd.com
23/11/2020,4,0.996,eodhd.com
24/11/2020,2,0.9655,eodhd.com
26/11/2020,2,0.533,eodhd.com
30/11/2020,1,0.999,eodhd.com
06/12/2020,2,0.844,eodhd.com
07/12/2020,2,1,eodhd.com
09/12/2020,4,0.938,eodhd.com
10/12/2020,4,0.9855,eodhd.com
11/12/2020,2,0.997,eodhd.com
15/12/2020,2,0.997,eodhd.com
16/12/2020,2,0.758,eodhd.com
17/12/2020,6,0.802,eodhd.com
18/12/2020,4,0.9765,eodhd.com
21/12/2020,3,0.9743,eodhd.com
22/12/2020,4,0.999,eodhd.com
23/12/2020,1,-0.599,eodhd.com
28/12/2020,6,0.3722,eodhd.com
29/12/2020,3,0.9727,eodhd.com
31/12/2020,1,0.999,eodhd.com
04/01/2021,1,0.983,eodhd.com
05/01/2021,2,0.9945,eodhd.com
08/01/2021,6,0.8257,eodhd.com
09/01/2021,2,0.995,eodhd.com
11/01/2021,2,0.999,eodhd.com
12/01/2021,4,0.2875,eodhd.com
13/01/2021,1,0.924,eodhd.com
14/01/2021,2,0.988,eodhd.com
18/01/2021,2,1,eodhd.com
19/01/2021,1,0.995,eodhd.com
20/01/2021,4,0.5038,eodhd.com
21/01/2021,4,0.9943,eodhd.com
22/01/2021,3,0.9707,eodhd.com
23/01/2021,1,-0.273,eodhd.com
24/01/2021,2,0.0295,eodhd.com
25/01/2021,4,0.8443,eodhd.com
26/01/2021,2,0.967,eodhd.com
27/01/2021,5,0.9988,eodhd.com
28/01/2021,2,0.999,eodhd.com
29/01/2021,6,0.5093,eodhd.com
30/01/2021,1,0.422,eodhd.com
01/02/2021,1,0.984,eodhd.com
02/02/2021,3,0.895,eodhd.com
03/02/2021,2,0.4605,eodhd.com
04/02/2021,1,0.919,eodhd.com
07/02/2021,2,1,eodhd.com
08/02/2021,2,-0.3965,eodhd.com
09/02/2021,2,0.2705,eodhd.com
10/02/2021,5,0.776,eodhd.com
11/02/2021,9,0.9154,eodhd.com
12/02/2021,7,0.9949,eodhd.com
13/02/2021,3,0.8573,eodhd.com
14/02/2021,2,1,eodhd.com
16/02/2021,7,0.984,eodhd.com
17/02/2021,3,0.9793,eodhd.com
18/02/2021,10,0.9741,eodhd.com
19/02/2021,2,0.998,eodhd.com
20/02/2021,2,1,eodhd.com
21/02/2021,2,0.974,eodhd.com
22/02/2021,6,0.4168,eodhd.com
23/02/2021,12,0.2463,eodhd.com
24/02/2021,11,0.6262,eodhd.com
26/02/2021,17,0.8377,eodhd.com
27/02/2021,2,0.9995,eodhd.com
01/03/2021,6,0.941,eodhd.com
02/03/2021,8,0.9298,eodhd.com
03/03/2021,8,0.6136,eodhd.com
04/03/2021,10,0.6534,eodhd.com
05/03/2021,13,0.6241,eodhd.com
06/03/2021,6,0.5007,eodhd.com
07/03/2021,4,0.9968,eodhd.com
08/03/2021,12,0.368,eodhd.com
09/03/2021,9,0.54,eodhd.com
10/03/2021,12,0.6689,eodhd.com
11/03/2021,11,0.5765,eodhd.com
12/03/2021,18,0.1884,eodhd.com
13/03/2021,7,0.2811,eodhd.com
14/03/2021,3,0.8857,eodhd.com
15/03/2021,12,0.717,eodhd.com
16/03/2021,18,0.4972,eodhd.com
17/03/2021,12,-0.0224,eodhd.com
18/03/2021,16,0.6832,eodhd.com
19/03/2021,10,0.8707,eodhd.com
20/03/2021,2,0.426,eodhd.com
21/03/2021,4,0.5958,eodhd.com
22/03/2021,30,0.4835,eodhd.com
23/03/2021,35,0.3606,eodhd.com
24/03/2021,20,0.3884,eodhd.com
25/03/2021,16,0.6886,eodhd.com
26/03/2021,13,0.5715,eodhd.com
27/03/2021,6,0.5927,eodhd.com
28/03/2021,2,0.99,eodhd.com
29/03/2021,15,0.7468,eodhd.com
30/03/2021,8,0.3311,eodhd.com
31/03/2021,18,0.3741,eodhd.com
01/04/2021,23,0.4067,eodhd.com
02/04/2021,11,0.5796,eodhd.com
03/04/2021,8,0.7105,eodhd.com
04/04/2021,2,-0.153,eodhd.com
05/04/2021,17,0.5967,eodhd.com
06/04/2021,16,0.4151,eodhd.com
07/04/2021,20,0.4664,eodhd.com
08/04/2021,25,0.1982,eodhd.com
09/04/2021,20,0.4589,eodhd.com
10/04/2021,2,0.5655,eodhd.com
11/04/2021,6,0.5073,eodhd.com
12/04/2021,46,0.613,eodhd.com
13/04/2021,19,0.6805,eodhd.com
14/04/2021,17,0.8078,eodhd.com
15/04/2021,9,0.6693,eodhd.com
16/04/2021,12,0.4592,eodhd.com
17/04/2021,3,0.5243,eodhd.com
18/04/2021,2,0.6845,eodhd.com
19/04/2021,15,0.7089,eodhd.com
20/04/2021,16,0.4071,eodhd.com
21/04/2021,20,0.34,eodhd.com
22/04/2021,21,0.3283,eodhd.com
23/04/2021,17,0.6996,eodhd.com
24/04/2021,3,0.505,eodhd.com
25/04/2021,6,0.2992,eodhd.com
26/04/2021,26,0.6948,eodhd.com
27/04/2021,45,0.5524,eodhd.com
28/04/2021,59,0.5453,eodhd.com
29/04/2021,22,0.5503,eodhd.com
30/04/2021,20,0.3277,eodhd.com
01/05/2021,7,0.7553,eodhd.com
02/05/2021,6,0.064,eodhd.com
03/05/2021,21,0.674,eodhd.com
04/05/2021,22,0.8409,eodhd.com
05/05/2021,16,0.5817,eodhd.com
06/05/2021,11,0.6087,eodhd.com
07/05/2021,13,0.5665,eodhd.com
08/05/2021,1,0.612,eodhd.com
09/05/2021,5,0.6434,eodhd.com
10/05/2021,18,0.7657,eodhd.com
11/05/2021,17,0.8299,eodhd.com
12/05/2021,18,0.3409,eodhd.com
13/05/2021,15,0.7183,eodhd.com
14/05/2021,15,0.4376,eodhd.com
15/05/2021,1,0.995,eodhd.com
16/05/2021,1,0.667,eodhd.com
17/05/2021,28,0.4834,eodhd.com
18/05/2021,19,0.5442,eodhd.com
19/05/2021,16,0.4483,eodhd.com
20/05/2021,19,0.4791,eodhd.com
21/05/2021,17,0.8654,eodhd.com
22/05/2021,1,0.95,eodhd.com
23/05/2021,2,0.6735,eodhd.com
24/05/2021,23,0.8242,eodhd.com
25/05/2021,16,0.7415,eodhd.com
26/05/2021,13,0.8019,eodhd.com
27/05/2021,15,0.7819,eodhd.com
28/05/2021,24,0.2453,eodhd.com
29/05/2021,2,0.9995,eodhd.com
30/05/2021,3,0.6633,eodhd.com
31/05/2021,5,0.83,eodhd.com
01/06/2021,10,0.6843,eodhd.com
02/06/2021,19,0.8057,eodhd.com
03/06/2021,16,0.6356,eodhd.com
04/06/2021,27,0.5559,eodhd.com
05/06/2021,6,0.899,eodhd.com
06/06/2021,1,0.412,eodhd.com
07/06/2021,30,0.6753,eodhd.com
08/06/2021,19,0.4598,eodhd.com
09/06/2021,22,0.6191,eodhd.com
10/06/2021,28,0.8081,eodhd.com
11/06/2021,19,0.6757,eodhd.com
12/06/2021,5,0.4632,eodhd.com
13/06/2021,6,0.8293,eodhd.com
14/06/2021,42,0.5899,eodhd.com
15/06/2021,21,0.5995,eodhd.com
16/06/2021,24,0.6548,eodhd.com
17/06/2021,25,0.4607,eodhd.com
18/06/2021,18,0.7784,eodhd.com
19/06/2021,6,0.654,eodhd.com
20/06/2021,4,0.7073,eodhd.com
21/06/2021,25,0.6414,eodhd.com
22/06/2021,42,0.528,eodhd.com
